invoice_id,subscription_id,customer_id,invoice_date,invoice_month,amount_due,amount_paid,payment_status,plan_name
INV000001,SUB00001,CUST0001,2023-07-01,2023-07,73.68,73.68,Paid,Starter
INV000002,SUB00001,CUST0001,2023-08-01,2023-08,73.68,73.68,Paid,Starter
INV000003,SUB00001,CUST0001,2023-09-01,2023-09,73.68,73.68,Paid,Starter
INV000004,SUB00001,CUST0001,2023-10-01,2023-10,73.68,73.68,Paid,Starter
INV000005,SUB00001,CUST0001,2023-11-01,2023-11,73.68,0.0,Failed,Starter
INV000006,SUB00001,CUST0001,2023-12-01,2023-12,73.68,73.68,Paid,Starter
INV000007,SUB00001,CUST0001,2024-01-01,2024-01,73.68,73.68,Paid,Starter
INV000008,SUB00001,CUST0001,2024-02-01,2024-02,73.68,73.68,Paid,Starter
INV000009,SUB00001,CUST0001,2024-03-01,2024-03,73.68,73.68,Late,Starter
INV000010,SUB00001,CUST0001,2024-04-01,2024-04,73.68,73.68,Paid,Starter
INV000011,SUB00001,CUST0001,2024-05-01,2024-05,73.68,73.68,Paid,Starter
INV000012,SUB00001,CUST0001,2024-06-01,2024-06,73.68,73.68,Paid,Starter
INV000013,SUB00001,CUST0001,2024-07-01,2024-07,73.68,73.68,Paid,Starter
INV000014,SUB00001,CUST0001,2024-08-01,2024-08,73.68,73.68,Paid,Starter
INV000015,SUB00001,CUST0001,2024-09-01,2024-09,73.68,73.68,Paid,Starter
INV000016,SUB00001,CUST0001,2024-10-01,2024-10,73.68,73.68,Paid,Starter
INV000017,SUB00001,CUST0001,2024-11-01,2024-11,73.68,73.68,Late,Starter
INV000018,SUB00001,CUST0001,2024-12-01,2024-12,73.68,73.68,Paid,Starter
INV000019,SUB00002,CUST0002,2024-11-01,2024-11,836.69,836.69,Paid,Business
INV000020,SUB00002,CUST0002,2024-12-01,2024-12,836.69,836.69,Paid,Business
INV000021,SUB00003,CUST0003,2024-11-01,2024-11,300.52,300.52,Late,Growth
INV000022,SUB00003,CUST0003,2024-12-01,2024-12,300.52,300.52,Paid,Growth
INV000023,SUB00004,CUST0004,2024-05-01,2024-05,104.39,104.39,Paid,Starter
INV000024,SUB00004,CUST0004,2024-06-01,2024-06,104.39,104.39,Paid,Starter
INV000025,SUB00004,CUST0004,2024-07-01,2024-07,104.39,104.39,Paid,Starter
INV000026,SUB00004,CUST0004,2024-08-01,2024-08,104.39,104.39,Paid,Starter
INV000027,SUB00004,CUST0004,2024-09-01,2024-09,104.39,0.0,Failed,Starter
INV000028,SUB00004,CUST0004,2024-10-01,2024-10,104.39,104.39,Paid,Starter
INV000029,SUB00004,CUST0004,2024-11-01,2024-11,104.39,104.39,Paid,Starter
INV000030,SUB00004,CUST0004,2024-12-01,2024-12,104.39,104.39,Late,Starter
INV000031,SUB00005,CUST0005,2023-09-01,2023-09,93.98,93.98,Paid,Starter
INV000032,SUB00005,CUST0005,2023-10-01,2023-10,93.98,93.98,Paid,Starter
INV000033,SUB00005,CUST0005,2023-11-01,2023-11,93.98,93.98,Paid,Starter
INV000034,SUB00005,CUST0005,2023-12-01,2023-12,93.98,93.98,Paid,Starter
INV000035,SUB00005,CUST0005,2024-01-01,2024-01,93.98,93.98,Late,Starter
INV000036,SUB00005,CUST0005,2024-02-01,2024-02,93.98,93.98,Paid,Starter
INV000037,SUB00005,CUST0005,2024-03-01,2024-03,93.98,93.98,Paid,Starter
INV000038,SUB00005,CUST0005,2024-04-01,2024-04,93.98,93.98,Paid,Starter
INV000039,SUB00005,CUST0005,2024-05-01,2024-05,93.98,93.98,Late,Starter
INV000040,SUB00005,CUST0005,2024-06-01,2024-06,93.98,93.98,Paid,Starter
INV000041,SUB00005,CUST0005,2024-07-01,2024-07,93.98,93.98,Paid,Starter
INV000042,SUB00005,CUST0005,2024-08-01,2024-08,93.98,93.98,Paid,Starter
INV000043,SUB00005,CUST0005,2024-09-01,2024-09,93.98,93.98,Paid,Starter
INV000044,SUB00005,CUST0005,2024-10-01,2024-10,93.98,93.98,Paid,Starter
INV000045,SUB00005,CUST0005,2024-11-01,2024-11,93.98,93.98,Paid,Starter
INV000046,SUB00005,CUST0005,2024-12-01,2024-12,93.98,93.98,Paid,Starter
INV000047,SUB00006,CUST0006,2023-08-01,2023-08,74.56,0.0,Failed,Starter
INV000048,SUB00006,CUST0006,2023-09-01,2023-09,74.56,0.0,Failed,Starter
INV000049,SUB00006,CUST0006,2023-10-01,2023-10,74.56,74.56,Paid,Starter
INV000050,SUB00006,CUST0006,2023-11-01,2023-11,74.56,74.56,Paid,Starter
INV000051,SUB00006,CUST0006,2023-12-01,2023-12,74.56,74.56,Paid,Starter
INV000052,SUB00006,CUST0006,2024-01-01,2024-01,74.56,74.56,Paid,Starter
INV000053,SUB00006,CUST0006,2024-02-01,2024-02,74.56,0.0,Failed,Starter
INV000054,SUB00006,CUST0006,2024-03-01,2024-03,74.56,0.0,Failed,Starter
INV000055,SUB00006,CUST0006,2024-04-01,2024-04,74.56,74.56,Late,Starter
INV000056,SUB00006,CUST0006,2024-05-01,2024-05,74.56,74.56,Late,Starter
INV000057,SUB00006,CUST0006,2024-06-01,2024-06,74.56,74.56,Paid,Starter
INV000058,SUB00006,CUST0006,2024-07-01,2024-07,74.56,74.56,Paid,Starter
INV000059,SUB00006,CUST0006,2024-08-01,2024-08,74.56,74.56,Paid,Starter
INV000060,SUB00006,CUST0006,2024-09-01,2024-09,74.56,74.56,Paid,Starter
INV000061,SUB00006,CUST0006,2024-10-01,2024-10,74.56,74.56,Paid,Starter
INV000062,SUB00006,CUST0006,2024-11-01,2024-11,74.56,74.56,Paid,Starter
INV000063,SUB00006,CUST0006,2024-12-01,2024-12,74.56,74.56,Paid,Starter
INV000064,SUB00007,CUST0007,2024-08-01,2024-08,610.24,610.24,Paid,Business
INV000065,SUB00007,CUST0007,2024-09-01,2024-09,610.24,610.24,Paid,Business
INV000066,SUB00007,CUST0007,2024-10-01,2024-10,610.24,610.24,Paid,Business
INV000067,SUB00007,CUST0007,2024-11-01,2024-11,610.24,610.24,Paid,Business
INV000068,SUB00007,CUST0007,2024-12-01,2024-12,610.24,610.24,Paid,Business
INV000069,SUB00008,CUST0008,2024-04-01,2024-04,784.49,784.49,Paid,Business
INV000070,SUB00008,CUST0008,2024-05-01,2024-05,784.49,784.49,Paid,Business
INV000071,SUB00008,CUST0008,2024-06-01,2024-06,784.49,784.49,Paid,Business
INV000072,SUB00008,CUST0008,2024-07-01,2024-07,784.49,784.49,Paid,Business
INV000073,SUB00008,CUST0008,2024-08-01,2024-08,784.49,784.49,Paid,Business
INV000074,SUB00008,CUST0008,2024-09-01,2024-09,784.49,784.49,Paid,Business
INV000075,SUB00008,CUST0008,2024-10-01,2024-10,784.49,784.49,Paid,Business
INV000076,SUB00008,CUST0008,2024-11-01,2024-11,784.49,784.49,Paid,Business
INV000077,SUB00008,CUST0008,2024-12-01,2024-12,784.49,784.49,Paid,Business
INV000078,SUB00009,CUST0009,2023-04-01,2023-04,83.18,83.18,Paid,Starter
INV000079,SUB00009,CUST0009,2023-05-01,2023-05,83.18,83.18,Paid,Starter
INV000080,SUB00009,CUST0009,2023-06-01,2023-06,83.18,83.18,Late,Starter
INV000081,SUB00009,CUST0009,2023-07-01,2023-07,83.18,83.18,Paid,Starter
INV000082,SUB00009,CUST0009,2023-08-01,2023-08,83.18,83.18,Late,Starter
INV000083,SUB00009,CUST0009,2023-09-01,2023-09,83.18,83.18,Paid,Starter
INV000084,SUB00009,CUST0009,2023-10-01,2023-10,83.18,83.18,Paid,Starter
INV000085,SUB00009,CUST0009,2023-11-01,2023-11,83.18,83.18,Paid,Starter
INV000086,SUB00009,CUST0009,2023-12-01,2023-12,83.18,83.18,Paid,Starter
INV000087,SUB00009,CUST0009,2024-01-01,2024-01,83.18,83.18,Paid,Starter
INV000088,SUB00009,CUST0009,2024-02-01,2024-02,83.18,83.18,Paid,Starter
INV000089,SUB00009,CUST0009,2024-03-01,2024-03,83.18,83.18,Paid,Starter
INV000090,SUB00009,CUST0009,2024-04-01,2024-04,83.18,83.18,Paid,Starter
INV000091,SUB00009,CUST0009,2024-05-01,2024-05,83.18,83.18,Paid,Starter
INV000092,SUB00009,CUST0009,2024-06-01,2024-06,83.18,83.18,Paid,Starter
INV000093,SUB00009,CUST0009,2024-07-01,2024-07,83.18,83.18,Paid,Starter
INV000094,SUB00009,CUST0009,2024-08-01,2024-08,83.18,83.18,Paid,Starter
INV000095,SUB00009,CUST0009,2024-09-01,2024-09,83.18,0.0,Failed,Starter
INV000096,SUB00009,CUST0009,2024-10-01,2024-10,83.18,83.18,Late,Starter
INV000097,SUB00010,CUST0010,2024-03-01,2024-03,100.23,100.23,Paid,Starter
INV000098,SUB00010,CUST0010,2024-04-01,2024-04,100.23,100.23,Paid,Starter
INV000099,SUB00010,CUST0010,2024-05-01,2024-05,100.23,100.23,Paid,Starter
INV000100,SUB00010,CUST0010,2024-06-01,2024-06,100.23,100.23,Paid,Starter
INV000101,SUB00010,CUST0010,2024-07-01,2024-07,100.23,100.23,Paid,Starter
INV000102,SUB00010,CUST0010,2024-08-01,2024-08,100.23,100.23,Paid,Starter
INV000103,SUB00010,CUST0010,2024-09-01,2024-09,100.23,100.23,Paid,Starter
INV000104,SUB00010,CUST0010,2024-10-01,2024-10,100.23,100.23,Paid,Starter
INV000105,SUB00010,CUST0010,2024-11-01,2024-11,100.23,100.23,Paid,Starter
INV000106,SUB00010,CUST0010,2024-12-01,2024-12,100.23,0.0,Failed,Starter
INV000107,SUB00011,CUST0011,2023-06-01,2023-06,107.02,107.02,Paid,Starter
INV000108,SUB00011,CUST0011,2023-07-01,2023-07,107.02,107.02,Paid,Starter
INV000109,SUB00011,CUST0011,2023-08-01,2023-08,107.02,107.02,Paid,Starter
INV000110,SUB00011,CUST0011,2023-09-01,2023-09,107.02,107.02,Paid,Starter
INV000111,SUB00011,CUST0011,2023-10-01,2023-10,107.02,107.02,Paid,Starter
INV000112,SUB00011,CUST0011,2023-11-01,2023-11,107.02,107.02,Paid,Starter
INV000113,SUB00011,CUST0011,2023-12-01,2023-12,107.02,107.02,Paid,Starter
INV000114,SUB00012,CUST0012,2024-08-01,2024-08,588.14,588.14,Paid,Business
INV000115,SUB00012,CUST0012,2024-09-01,2024-09,588.14,588.14,Paid,Business
INV000116,SUB00012,CUST0012,2024-10-01,2024-10,588.14,588.14,Paid,Business
INV000117,SUB00012,CUST0012,2024-11-01,2024-11,588.14,588.14,Paid,Business
INV000118,SUB00012,CUST0012,2024-12-01,2024-12,588.14,588.14,Paid,Business
INV000119,SUB00013,CUST0013,2023-08-01,2023-08,260.01,260.01,Paid,Growth
INV000120,SUB00013,CUST0013,2023-09-01,2023-09,260.01,260.01,Paid,Growth
INV000121,SUB00013,CUST0013,2023-10-01,2023-10,260.01,260.01,Paid,Growth
INV000122,SUB00013,CUST0013,2023-11-01,2023-11,260.01,260.01,Paid,Growth
INV000123,SUB00013,CUST0013,2023-12-01,2023-12,260.01,260.01,Paid,Growth
INV000124,SUB00013,CUST0013,2024-01-01,2024-01,260.01,260.01,Paid,Growth
INV000125,SUB00013,CUST0013,2024-02-01,2024-02,260.01,260.01,Late,Growth
INV000126,SUB00013,CUST0013,2024-03-01,2024-03,260.01,260.01,Late,Growth
INV000127,SUB00013,CUST0013,2024-04-01,2024-04,260.01,260.01,Late,Growth
INV000128,SUB00013,CUST0013,2024-05-01,2024-05,260.01,260.01,Paid,Growth
INV000129,SUB00013,CUST0013,2024-06-01,2024-06,260.01,260.01,Paid,Growth
INV000130,SUB00013,CUST0013,2024-07-01,2024-07,260.01,260.01,Paid,Growth
INV000131,SUB00013,CUST0013,2024-08-01,2024-08,260.01,260.01,Paid,Growth
INV000132,SUB00013,CUST0013,2024-09-01,2024-09,260.01,260.01,Paid,Growth
INV000133,SUB00013,CUST0013,2024-10-01,2024-10,260.01,260.01,Late,Growth
INV000134,SUB00013,CUST0013,2024-11-01,2024-11,260.01,260.01,Paid,Growth
INV000135,SUB00013,CUST0013,2024-12-01,2024-12,260.01,260.01,Paid,Growth
INV000136,SUB00014,CUST0014,2023-10-01,2023-10,101.89,101.89,Paid,Starter
INV000137,SUB00014,CUST0014,2023-11-01,2023-11,101.89,101.89,Paid,Starter
INV000138,SUB00014,CUST0014,2023-12-01,2023-12,101.89,101.89,Paid,Starter
INV000139,SUB00014,CUST0014,2024-01-01,2024-01,101.89,101.89,Paid,Starter
INV000140,SUB00014,CUST0014,2024-02-01,2024-02,101.89,101.89,Paid,Starter
INV000141,SUB00014,CUST0014,2024-03-01,2024-03,101.89,101.89,Paid,Starter
INV000142,SUB00014,CUST0014,2024-04-01,2024-04,101.89,101.89,Paid,Starter
INV000143,SUB00014,CUST0014,2024-05-01,2024-05,101.89,101.89,Paid,Starter
INV000144,SUB00014,CUST0014,2024-06-01,2024-06,101.89,101.89,Paid,Starter
INV000145,SUB00014,CUST0014,2024-07-01,2024-07,101.89,101.89,Late,Starter
INV000146,SUB00014,CUST0014,2024-08-01,2024-08,101.89,101.89,Paid,Starter
INV000147,SUB00014,CUST0014,2024-09-01,2024-09,101.89,101.89,Paid,Starter
INV000148,SUB00014,CUST0014,2024-10-01,2024-10,101.89,101.89,Paid,Starter
INV000149,SUB00014,CUST0014,2024-11-01,2024-11,101.89,101.89,Paid,Starter
INV000150,SUB00014,CUST0014,2024-12-01,2024-12,101.89,101.89,Paid,Starter
INV000151,SUB00015,CUST0015,2023-04-01,2023-04,868.78,868.78,Paid,Business
INV000152,SUB00015,CUST0015,2023-05-01,2023-05,868.78,868.78,Paid,Business
INV000153,SUB00015,CUST0015,2023-06-01,2023-06,868.78,868.78,Paid,Business
INV000154,SUB00015,CUST0015,2023-07-01,2023-07,868.78,868.78,Paid,Business
INV000155,SUB00015,CUST0015,2023-08-01,2023-08,868.78,868.78,Paid,Business
INV000156,SUB00015,CUST0015,2023-09-01,2023-09,868.78,868.78,Paid,Business
INV000157,SUB00015,CUST0015,2023-10-01,2023-10,868.78,0.0,Failed,Business
INV000158,SUB00015,CUST0015,2023-11-01,2023-11,868.78,868.78,Paid,Business
INV000159,SUB00015,CUST0015,2023-12-01,2023-12,868.78,868.78,Paid,Business
INV000160,SUB00015,CUST0015,2024-01-01,2024-01,868.78,868.78,Paid,Business
INV000161,SUB00015,CUST0015,2024-02-01,2024-02,868.78,868.78,Late,Business
